[System] Initialized kmsg stream.
[IDT] Initializing IDT
[IDT] Setting IDT gate for interrupt 195. Base: 2147502059, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 196. Base: 2147502072, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 197. Base: 2147502085, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 198. Base: 2147502098, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 199. Base: 2147502111, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 200. Base: 2147502124, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 201. Base: 2147502137, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 202. Base: 2147502150, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 203. Base: 2147502163, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 204. Base: 2147502176, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 205. Base: 2147502189, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 206. Base: 2147502202, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 207. Base: 2147502215, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 208. Base: 2147502228, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 209. Base: 2147502241, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 210. Base: 2147502254, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 211. Base: 2147502267, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 212. Base: 2147502280, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 213. Base: 2147502293, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 214. Base: 2147502306, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 215. Base: 2147502319, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 216. Base: 2147502332, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 217. Base: 2147502345, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 218. Base: 2147502358, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 219. Base: 2147502371, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 220. Base: 2147502384, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 221. Base: 2147502397, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 222. Base: 2147502410, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 223. Base: 2147502423, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 224. Base: 2147502436, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 225. Base: 2147502449, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 226. Base: 2147502462, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 227. Base: 2147502475, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 228. Base: 2147502488, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 229. Base: 2147502501, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 230. Base: 2147502514, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 231. Base: 2147502527, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 232. Base: 2147502540, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 233. Base: 2147502553, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 234. Base: 2147502566, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 235. Base: 2147502579, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 236. Base: 2147502592, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 237. Base: 2147502605, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 238. Base: 2147502618, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 239. Base: 2147502631, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 240. Base: 2147502644, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 241. Base: 2147502657, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 242. Base: 2147502670, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 243. Base: 2147502683, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 244. Base: 2147502696, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 245. Base: 2147502709, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 246. Base: 2147502722, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 247. Base: 2147502735, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 248. Base: 2147502748, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 249. Base: 2147502761, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 250. Base: 2147502774, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 251. Base: 2147502787, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 252. Base: 2147502800, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 253. Base: 2147502813, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 254. Base: 2147502826, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 255. Base: 2147502839, Sel: 40, Flags: 142
[IDT] IDT Initialization complete
[System] Initialized IDT
[PIC] Configuring PIC with offsets 32 and 40, AutoEOI: false
[PIC] Set mask to 0xffff
[PIC] Set mask to 0xffff
[System] Initialized PIC
[PIT] Set count to 0
[PIT] Set divisor to 1193
[System] Initialized PIT

[System] Loaded modules, file count: 4
[Modules] Loaded /kfont.psf (10741)!
[Modules] Loaded /boot_logo.kif (1695330)!
[Modules] Loaded /build_info.txt (69)!
[Modules] Loaded /bsod.kif (1065621)!
[Screen] Width: 1024, Height: 768

[System] Starting display...
[System] Found font!
[System] Initializing Nighterm with font!
[System] Initialized Nighterm with code: NIGHTERM_SUCCESS
[KIF] Success: Successfully drew the image
[IDT] Handling exception with vector 14
[IDT] Exception: page fault
[KIF] Success: Successfully drew the image
[KERNEL PANIC] rax: 0x0000000000000000, rbx: 0x0000000000000000, rcx: 0x0000000000000ffc, rdx: 0x0000000000000000
[KERNEL PANIC] rsp: 0xffff800007f62f60, rbp: 0xffff800007f62f70, rsi: 0x00000000ff000000, rdi: 0x00000000000003ff
[KERNEL PANIC] r8:  0x0000000000000000, r9:  0x0000000000000002, r10: 0xffff800007f62e17, r11: 0x000000000000000a
[KERNEL PANIC] r12: 0x0000000000000000, r13: 0x0000000000000000, r14: 0x0000000000000000, r15: 0x0000000000000000
[KERNEL PANIC] rfl: 0x0000000000000286, rip: 0xffffffff800033ec, cs:  0x0000000000000028, ss:  0x0000000000000030
[PIT] Sleeping for 10000 milliseconds
